Basepack,Cluster,BP_Clus,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201613,201614,201615,201616,201617,201618,201619,201620,201621,201622,201623,201624,201625,201626,201627,201628,201629,201630,201631,201632,201633,201634,201635,201636,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201713,201714,201715,201716,201717,201718,201719,201720,201721,201722,201723,201724,201725,201726,201727,201728,201729,201730,201731,201732,201733,201734,201735,201736,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201813,201814,201815,201816,201817,201818,201819,missing,weekly_avg,missing_in_last_30,missing_in_first_30
70199,KARNATAKA-KERALA,70199 KARNATAKA-KERALA,0,8579.9,16453.3,10906.9,10603.2,14187.9,9426.9,12510,14461.3,16690.7,8954,17235.2,11425.4,14201.1,18026.3,16201.8,13138,22945.7,18318,8039.5,22622.4,13507.8,17402.4,17206.8,12826.3,15531.8,17370.6,19652,7118,15006.6,11850.5,13920,11561.8,15518.9,16680.2,16247,15386.9,10908.5,15466.4,12648,18049.1,13726.3,11057.6,12773.1,16631.9,17896.8,8507.6,15636.9,12967.4,11405.7,16797.1,15370.9,14051,14702.8,17695.3,5422.8,13992,13823.5,13632,14603.5,14952,11244,17197.9,17970.4,9966.7,15578.1,14682.6,11531.7,14183,13025.4,12274.2,14058.9,13962,13073.4,14780.5,14264.9,13620.6,14679.7,10493.4,12627.6,12746.7,12270.4,9511.8,14425.2,9352.4,16316.2,587.7,0,0,0,0,0,12647.44821,0,0
70199,TAMIL NADU,70199 TAMIL NADU,0,42906.3,75277.6,40265.6,40618.3,54228.4,34835.8,53831.5,57450,59376.2,30270.2,64610.1,44271.4,44708.5,61731.1,53520.1,48967.7,51648.4,55493.2,29441.4,64767.1,43643.6,49838,57219.7,50232.6,49722.6,60479.3,62269.1,38351.6,70353.8,45296.1,49703.4,59339.2,44793.6,46034.6,58571.8,62156.2,50163.5,54140.3,51969.4,49316.6,54555,41277.8,43861.4,54533.2,56248.9,41534.2,50497.1,36289,40022.2,59465.3,48799.5,39167.2,55053.4,58811.2,29382,57341.5,49781.4,47412,56592,53530.8,44771.4,62769.8,58088.7,42475.9,52332.6,52743.8,56799.4,50153.1,51815.4,44965.2,56813,49347.2,65875.5,48890.4,61062.8,41995.7,53903,35223.9,50333.4,57443.5,45951.7,41231.1,66064.7,41360.3,45323.9,10262.1,0,0,0,0,0,45999.69902,0,0
70200,ANDHRA PRADESH,70200 ANDHRA PRADESH,0,18418.75,23770.25,17031,17780.5,20458.5,15874.75,19686.01,22581.5,22350,13267,25173.68,21496.98,20027.28,21401.81,18345.52,17470.26,18326.23,21789.02,11331.21,21084.01,16189.25,20885.25,21645.5,21223.5,17938.5,22163.25,23729.5,12660.25,20029.5,18135.25,17856,16674.64,16796.5,19467,18849,22850.75,20795.75,16692,16179.5,18657.75,25067.75,15001,17655.75,20594.25,22266.75,13287.25,16983.26,13766.5,18153.01,22770.5,19015.25,18054.5,18776.25,20922.25,13560,19620,18432,18312,22908,22378.75,16524,23684.76,23785.5,13302.5,22982.75,17005,20259.75,18758.25,18308.5,18846.75,24557.5,20399.75,24600,13806.5,22065.5,19990.75,19143,14204.5,19411.75,20650.75,20293.75,13197.75,16460,19570.75,16800.75,1812,0,0,0,0,0,17287.58125,0,0
70200,GREATER MAHARASHTRA,70200 GREATER MAHARASHTRA,0,744,432,660,516,827.75,816,946.25,984,1871.76,708,1092,1560,732,1223.76,740.82,1139.27,1968,1403.27,371.27,1363.25,804,540,684,865,720,1786.75,240,1116,1188,1356,696,276,635.26,717.8,992.25,852,972,996,660,835.5,134.75,180,1480.5,444,929,2040,514.5,0,,0,31.5,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,,7,500.4855952,2,3
70200,KARNATAKA-KERALA,70200 KARNATAKA-KERALA,0,5459.25,13596.25,12660.28,12741,15685,11124.5,13048.25,15566,16089.52,12516.25,16804.25,12706.01,16156.37,17133.56,18523.19,15142.9,16750.57,15236.75,8815.5,17933.57,11984.77,17538.25,17445.58,14777.01,17885.25,14027.8,17634.5,9417.99,15646.75,13124.75,15034,13388.25,13522.75,14410.75,15346.75,15108,12732,9524.75,15430.25,15303,18300,11729.75,14035.75,17093,18250.75,8902.5,15843.75,13972.25,14610.5,15846.25,16699.25,14541,15268.75,17956,4644,16416,12497.5,15720,17208,16042.75,9898.75,17932,18278.5,9519,14341.5,13925.75,13479.75,13314,14973.25,11063.75,14868.75,13341,13943.28,15791.75,16267,11134,13063.25,10214.75,14608.75,13256,12523.75,10253.75,14931.53,11113.5,14298,1283.75,0,0,0,0,0,12831.59982,0,0
70200,TAMIL NADU,70200 TAMIL NADU,0,25265.25,44668.25,28852.25,34017.25,40876.13,23841.25,37374.5,42180.25,37757.77,22158,47694.25,35623.3,31798.02,44920.51,34089.01,33118.28,37220.01,34656.75,22760.35,46433.71,28498.79,35436.25,42517.06,36877.01,37353.26,45371.5,40811,28611.26,46703.25,28944.75,36455.5,38907.01,31454.76,33753.76,41806,45286.5,30119,42406.75,40128,38118,42480.26,28856,32014.25,40950.26,38369.5,31100.2,37995.2,24085.75,29572,43630.01,33382.75,27889.25,38456,38294,20493,41614,34617.25,33948,42768,39394.75,30599,49650,40591.25,29176.25,40134,35756.85,38923.51,35882.5,35742.75,32695.76,42997.58,32292,48563.25,36446,36597.5,38527,40204,26022.25,39270.01,44297.75,33551,32182.75,51415,28395.75,32724.5,8364.25,0,0,0,0,0,32933.84169,0,0
70201,ANDHRA PRADESH,70201 ANDHRA PRADESH,0,1459.5,1953.5,1398,1480.5,1483,1212,1898.5,1535.5,1560,1534.5,1567,1301,1333,1549,1380.5,1366.5,663.5,2331.5,1009,1626.5,980.5,2147.5,1379.5,1401,1058,1530.5,1208,1467,1750.5,1246,1836,1246.5,1467.5,1704,1188,2088,1752,1512,2063.5,1954,1937.5,1253,1929,1654,2059.5,1369,1221.5,1640.5,1508.5,1989.5,1417.5,1463.5,1575,1724,996,1812,1675.5,1788,1560,1704,1284,1923,1580.5,1375.5,1886,1773.5,2122,1519,1461,1219,2675,2039.5,1908,1389,1655,1847,1923.5,1245.5,1666.5,2109,1487.5,1405.5,1005,2155.5,2442.5,252,0,0,0,0,0,1449.464512,0,0
70201,GREATER MAHARASHTRA,70201 GREATER MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,864,156,,,,,12,,,,,,86,150.1980453,15,81
70201,KARNATAKA-KERALA,70201 KARNATAKA-KERALA,0,1996,3867,2403,3165,3958.5,2450,3004.5,3952.5,4192.5,3323.5,4607,3255.5,3789,4154,2432,3020.5,5798,3899.5,2340.5,5087.5,3164,4108.5,4357.5,4673.5,4502,4483.5,3813,2104.5,4191,3655,3780,3306.5,3871,4077.5,3624,3972,4116,4821.5,3600,4096.5,4257,2707,4019,3285,4507,2882,4931.5,3434.5,3941,3877,5187.5,3867.5,3957.5,4702.5,1704,4689.5,3468,3960,4989.5,5733.5,2527,4525.5,4048,3367,3706,3848.5,4057,3519,4176.5,3292,4857.5,3154,4265.5,4315.5,5947,3609,3805,3095.5,3605,4325.5,3182,3327.5,4701,3589,4253.5,585,0,0,0,0,0,3476.578655,0,0
70201,TAMIL NADU,70201 TAMIL NADU,0,3655.5,5378,3923.5,4453,5496.5,3375.5,4628.5,5787.5,4761,3643,5221,3639,3914,5838.5,4356.5,4774,6518.5,4772.5,2810.5,5767.5,3749,4991,5595.5,4196,5821.5,5775,4812.5,3329.5,5649.5,3300,4848,5124,4229.5,4988,5064,6034.5,4908,4569,4452,5374.5,5081,3584,5414,4412,4494.5,5614,4982,3770,3717,4731.5,4334.5,3942,5452.5,5815,3180,5124,6854,4197.5,5076,5712,4512,6867.5,5240,3388,5202,5173,4900,4426,5414,5154,5795.5,4383.5,6522,4454.5,4955.5,4926,5338.5,4435.5,5151.5,5268.5,4177,4485.5,5122,4444,4405,1074.5,0,0,0,0,0,4364.132916,0,0
